pass,max_compaction_index,mean_compaction_0_30m,mean_compaction_30_100m
1,0.28950706243804203,0.10005096935457672,0.06091270959957035
2,0.4519529525574911,0.12167606121862047,0.07001732687939252
3,0.5744458534533049,0.13979357466666714,0.07853827362352941
4,0.666812060802956,0.15507214780412687,0.08652150956672687
5,0.7364611277918682,0.16804430659930314,0.09400896288000338
6,0.7889802543384701,0.17913518272264053,0.10103890970365054
7,0.8285824884022384,0.18868503368668207,0.10764631612828644
8,0.8584446937732636,0.19696692393571957,0.1138631464765673
9,0.8809623958853559,0.20420062424051913,0.11971864133209349
10,0.8979419492073253,0.21056355287063933,0.1252395683996619
11,0.9107454417474802,0.21619940035525143,0.13045044895754615
12,0.9203999608103401,0.22122493845603777,0.1353737623736782
13,0.9276799852288962,0.22573540417423293,0.1400301308996871
14,0.9331695135202279,0.22980876416352025,0.14443848672635898
15,0.9373089118420964,0.2335090983738774,0.14861622307822972
16,0.9404302398611438,0.2368892898882765,0.15257933094104506
17,0.9427838883493842,0.2399931674631942,0.15634252285135658
18,0.9445586653585262,0.24285721570834756,0.15991934503045746
19,0.9458969422711223,0.24551194317259098,0.16332227901331983
20,0.9469060747342782,0.24798297931338942,0.1665628338055088
21,0.9476670146553142,0.2502919562297054,0.16965162949572413
22,0.9482408041077072,0.25245721920991926,0.1725984731573366
23,0.9486734720839506,0.2544944008700035,0.17541242778785618
24,0.9489997269094547,0.25641688637419735,0.17810187495964666
25,0.9492457405203737,0.25823619150600385,0.18067457178743943
26,0.9494312479581991,0.25996227085257234,0.18313770275747102
27,0.9495711305011202,0.2616037698161274,0.18549792690861666
28,0.9496766094298545,0.26316823136578804,0.18776142080706276
29,0.9497561461910157,0.26466226623074895,0.18993391771225066
30,0.949816121168501,0.2660916934854073,0.1920207432925076
