pass,rut_mm_seco,rut_mm_umido,delta_rut_mm_umido_menos_seco,c_superf_seco,c_superf_umido,delta_c_superf_umido_menos_seco
1,8.709432769407393,10.965604470222996,2.256171700815603,0.3696355518052613,0.4368322154806328,0.0671966636753714
2,11.922799884486052,14.400249968438828,2.4774500839527764,0.5465696537895375,0.6345825395988334,0.0880128858092959
3,13.271266415469714,15.771171726954131,2.499905311484417,0.6415151044767312,0.7289308651231377,0.0874157606464064
4,13.929945417701264,16.453279526767698,2.5233341090664343,0.7011277762415432,0.7833080048825241,0.0821802286409808
5,14.25541206210489,16.81342190819447,2.558009846089581,0.7423559758425171,0.8184878062644616,0.0761318304219444
6,14.399760443061902,16.99923080867764,2.5994703656157387,0.7727273552517601,0.8430056923829553,0.0702783371311952
7,14.440082262673796,17.083652075704055,2.6435698130302594,0.7961171072536714,0.8610035677237676,0.0648864604700962
8,14.440082262673796,17.10712153366998,2.6670392709961828,0.814732431653144,0.8747302075927089,0.0599977759395649
9,14.440082262673796,17.10712153366998,2.6670392709961828,0.8299270462683471,0.8855101325926452,0.055583086324298
10,14.440082262673796,17.10712153366998,2.6670392709961828,0.8425796250043276,0.8941733636862379,0.0515937386819103
